receipt_file,store,item_order,gt_name,semantic_name,name_match,qty_match,unit_price_match,base_price_match,discount_match,final_price_match,numeric_all_match,structure_success,failure_reason
009_costco.json,costco,6,미국산아롱사태팩,,False,False,False,False,False,False,False,False,missing_pred_item
009_costco.json,costco,7,오리슬라이스1KG,,False,False,False,False,False,False,False,False,missing_pred_item
009_costco.json,costco,8,생굴 (소) 600G,,False,False,False,False,False,False,False,False,missing_pred_item
009_costco.json,costco,9,블루베리510G,,False,False,False,False,False,False,False,False,missing_pred_item
010_costco.json,costco,1,국산돈뒷다리도매,국산돈뒷다리도매,True,True,True,True,True,True,True,True,
010_costco.json,costco,2,KS VEGETABLE 5.5,KS VEGETABLE 5.5,True,True,True,True,True,True,True,True,
010_costco.json,costco,3,순살고등어,순살고등어,True,True,True,True,True,True,True,True,
010_costco.json,costco,4,한우물새우볶음밥,한우물새우볶음밥,True,True,True,True,True,True,True,True,
010_costco.json,costco,5,KS LOW-SODIUM BA,KS LOW-SODIUM BA,True,True,True,True,True,True,True,True,
011_costco.json,costco,1,KS 무염 믹스넛,KS 무염 믹스넛,True,True,True,True,True,True,True,True,
011_costco.json,costco,2,낙지볶음 밥300GX5,낙지볶음 밥300GX5,True,True,True,True,True,True,True,True,
011_costco.json,costco,3,연어,연어,True,True,True,True,True,True,True,True,
012_costco.json,costco,1,유기농곤드레밥,유기농곤드레밥,True,True,True,True,True,True,True,True,
012_costco.json,costco,2,낙지볶음 밥300GX5,낙지볶음 밥300GX5,True,True,True,True,True,True,True,True,
013_costco.json,costco,1,LEGO DUPLO 10978,LEGO DUPLO 10978,True,True,True,True,True,True,True,True,
013_costco.json,costco,2,파인애플슬라이스,파인애플슬라이스,True,True,True,True,True,True,True,True,
013_costco.json,costco,3,손질두절가자미,손질두절가자미,True,True,True,True,True,True,True,True,
013_costco.json,costco,4,딸기 1 박스(1KG),딸기 1 박스(1KG),True,True,True,True,True,True,True,True,
013_costco.json,costco,5,EZN지퍼백135매,EZN지퍼백135매,True,True,True,True,True,True,True,True,
013_costco.json,costco,6,일회용장갑 600CT,일회용장갑 600CT,True,True,True,True,True,True,True,True,
013_costco.json,costco,7,테팔프라이팬2P,테팔프라이팬2P,True,True,True,True,True,True,True,True,
013_costco.json,costco,8,동물복지란60개,동물복지란60개,True,True,True,True,True,True,True,True,
013_costco.json,costco,9,프리미엄우유2.3L,프리미엄우유2.3L,True,True,True,True,True,True,True,True,
013_costco.json,costco,10,저지방&칼슘우유,저지방&칼슘우유,True,True,True,True,True,True,True,True,
013_costco.json,costco,11,미국냉장등심덧살,미국냉장등심덧살,True,True,True,True,True,True,True,True,
013_costco.json,costco,12,카라카라 오렌지,카라카라 오렌지,True,True,True,True,True,True,True,True,
013_costco.json,costco,13,자연산 홍새우,자연산 홍새우,True,True,True,True,True,True,True,True,
013_costco.json,costco,14,파프리카 국내산,파프리카 국내산,True,True,True,True,True,True,True,True,
013_costco.json,costco,15,국산돈육삼겹로스,국산돈육삼겹로스,True,True,True,True,True,True,True,True,
013_costco.json,costco,16,비요뜨초코링,비요뜨초코링,True,True,True,True,True,True,True,True,
013_costco.json,costco,17,뚜부크래커,뚜부크래커,True,True,True,True,True,True,True,True,
013_costco.json,costco,18,카프레제,카프레제,True,True,True,True,True,True,True,True,
013_costco.json,costco,19,연어도다리회콤보,연어도다리회콤보,True,True,True,True,True,True,True,True,
013_costco.json,costco,20,하이롤러 연어,하이롤러 연어,True,True,True,True,True,True,True,True,
013_costco.json,costco,21,플레인요거트2000,플레인요거트2000,True,True,True,True,True,True,True,True,
014_costco.json,costco,1,ASAHI SHOKUSAI,ASAHI SHOKUSAI,True,True,True,True,True,True,True,True,
014_costco.json,costco,2,크리넥스마이비데,크리넥스마이비데,True,True,True,True,True,True,True,True,
014_costco.json,costco,3,피땅콩 1KG,피땅콩 1KG,True,True,True,True,True,True,True,True,
014_costco.json,costco,4,국산 숙주나물,국산 숙주나물,True,True,True,True,True,True,True,True,
014_costco.json,costco,5,트러플잠봉,트러플잠봉,True,True,True,True,True,True,True,True,
014_costco.json,costco,6,미니파프리카700G,미니파프리카700G,True,True,True,True,True,True,True,True,
014_costco.json,costco,7,GUESS 면파자마,GUESS 면파자마,True,True,True,True,True,True,True,True,
014_costco.json,costco,8,ARTISAN라자냐,ARTISAN라자냐,True,True,True,True,True,True,True,True,
014_costco.json,costco,9,유기농 우유,유기농 우유,True,True,True,True,True,True,True,True,
014_costco.json,costco,10,KS M. 쇼비뇽블랑,KS M. 쇼비뇽블랑,True,True,True,True,True,True,True,True,
014_costco.json,costco,11,이베리코냉동목심,이베리코냉동목심,True,True,True,True,True,True,True,True,
014_costco.json,costco,12,자유방목복지란,자유방목복지란,True,True,True,True,True,True,True,True,
014_costco.json,costco,13,꿀카스테라,꿀카스테라,True,True,True,True,True,True,True,True,
014_costco.json,costco,14,프렌치버터크라상,프렌치버터크라상,True,True,True,True,True,True,True,True,
015_costco.json,costco,1,자유방목복지란,자유방목복지란,True,True,True,True,True,True,True,True,
015_costco.json,costco,2,대봉감 4KG,대봉감 4KG,True,True,True,True,True,True,True,True,
015_costco.json,costco,3,KS SR PLATFORM,KS SR PLATFORM,True,True,True,True,True,True,True,True,
015_costco.json,costco,4,누텔라앤고,누텔라앤고,True,True,True,True,True,True,True,True,
015_costco.json,costco,5,무농약 숙주나물,무농약 숙주나물,True,True,True,True,True,True,True,True,
015_costco.json,costco,6,백오이 1봉,백오이 1봉,True,True,True,True,True,True,True,True,
015_costco.json,costco,7,KS M. 쇼비뇽블랑,KS M. 쇼비뇽블랑,True,True,True,True,True,True,True,True,
015_costco.json,costco,8,유기농 우유,유기농 우유,True,True,True,True,True,True,True,True,
015_costco.json,costco,9,땅콩크림샌드480G,땅콩크림샌드480G,True,True,True,True,True,True,True,True,
015_costco.json,costco,10,페스토새우펜네,페스토새우펜네,True,True,True,True,True,True,True,True,
016_costco.json,costco,1,백합조개,백합조개,True,True,True,True,True,True,True,True,
016_costco.json,costco,2,백합조개,백합조개,True,True,True,True,True,True,True,True,
016_costco.json,costco,3,백합조개,백합조개,True,True,True,True,True,True,True,True,
016_costco.json,costco,4,퍼실어드밴스드젤,퍼실어드밴스드젤,True,True,True,True,True,True,True,True,
016_costco.json,costco,5,우유크림롤케익,우유크림롤케익,True,True,True,True,True,True,True,True,
016_costco.json,costco,6,점보블루베리,점보블루베리,True,True,True,True,True,True,True,True,
016_costco.json,costco,7,킹스베리500G,킹스베리500G,True,True,True,True,True,True,True,True,
016_costco.json,costco,8,SEOUL A2+우유2.3,SEOUL A2+우유2.3,True,True,True,True,True,True,True,True,
016_costco.json,costco,9,레오나르디발사믹,레오나르디발사믹,True,True,True,True,True,True,True,True,
016_costco.json,costco,10,청화도토리가루,청화도토리가루,True,True,True,True,True,True,True,True,
016_costco.json,costco,11,더킹크랩스140GX6,더킹크랩스140GX6,True,True,True,True,True,True,True,True,
016_costco.json,costco,12,깐더덕500G,깐더덕500G,True,True,True,True,True,True,True,True,
