receipt_file,store,semantic_file_exists,items_generated_success,gt_item_count,generated_item_count,item_count_match,required_field_complete_item_count,required_field_incomplete_item_count,required_field_completion_rate,core_match_count,core_match_rate_over_gt,qty_match_count,qty_match_rate_over_gt,final_price_match_count,final_price_match_rate_over_gt,semantic_path
089_emart.json,emart,True,True,8,8,True,8,0,100.0,8,100.0,8,100.0,8,100.0,data\semantic\emart\089_emart.json
090_emart.json,emart,True,True,7,7,True,7,0,100.0,7,100.0,7,100.0,7,100.0,data\semantic\emart\090_emart.json
091_emart.json,emart,True,True,13,13,True,13,0,100.0,13,100.0,13,100.0,13,100.0,data\semantic\emart\091_emart.json
092_emart.json,emart,True,True,7,7,True,7,0,100.0,7,100.0,7,100.0,7,100.0,data\semantic\emart\092_emart.json
093_emart.json,emart,True,True,4,4,True,4,0,100.0,4,100.0,4,100.0,4,100.0,data\semantic\emart\093_emart.json
094_emart.json,emart,True,True,8,8,True,8,0,100.0,8,100.0,8,100.0,8,100.0,data\semantic\emart\094_emart.json
095_emart.json,emart,True,True,11,11,True,11,0,100.0,11,100.0,11,100.0,11,100.0,data\semantic\emart\095_emart.json
096_emart.json,emart,True,True,5,5,True,5,0,100.0,5,100.0,5,100.0,5,100.0,data\semantic\emart\096_emart.json
097_emart.json,emart,True,True,6,6,True,6,0,100.0,6,100.0,6,100.0,6,100.0,data\semantic\emart\097_emart.json
098_emart.json,emart,True,False,4,0,False,0,0,,0,0.0,0,0.0,0,0.0,data\semantic\emart\098_emart.json
099_emart.json,emart,True,True,5,5,True,5,0,100.0,4,80.0,5,100.0,4,80.0,data\semantic\emart\099_emart.json
100_emart.json,emart,True,True,6,6,True,6,0,100.0,6,100.0,6,100.0,6,100.0,data\semantic\emart\100_emart.json
038_hanaro.json,hanaro,True,True,3,3,True,3,0,100.0,3,100.0,3,100.0,3,100.0,data\semantic\hanaro\038_hanaro.json
039_hanaro.json,hanaro,True,True,4,4,True,4,0,100.0,4,100.0,4,100.0,4,100.0,data\semantic\hanaro\039_hanaro.json
040_hanaro.json,hanaro,True,True,5,5,True,5,0,100.0,5,100.0,5,100.0,5,100.0,data\semantic\hanaro\040_hanaro.json
041_hanaro.json,hanaro,True,True,3,2,False,2,0,100.0,0,0.0,1,33.3,0,0.0,data\semantic\hanaro\041_hanaro.json
042_hanaro.json,hanaro,True,True,4,4,True,4,0,100.0,4,100.0,4,100.0,4,100.0,data\semantic\hanaro\042_hanaro.json
